[2026-03-30 16:39:03,038] INFO     src.core.rules - 已加载 5 条规则
[2026-03-30 16:39:30,075] WARNING  src.core.binance_client - API密钥未配置，以只读模式运行（无法下单）
[2026-03-30 16:39:30,883] INFO     src.core.engine - 🔍 开始扫描 [16:39:30] | 周期:15m
[2026-03-30 16:39:30,884] INFO     src.core.engine - 🚀 小牛量化引擎启动 | 📋模拟交易 | 监控: BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT
[2026-03-30 16:39:31,133] INFO     src.core.analyzer - BTCUSDT 评分: 4.2/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.5 TREND:1.0]
[2026-03-30 16:39:31,134] INFO     src.core.engine -   BTCUSDT: 67828.0600 | 评分:4.2/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:39:31,385] INFO     src.core.analyzer - ETHUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:39:31,385] INFO     src.core.engine -   ETHUSDT: 2067.7900 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:39:31,611] INFO     src.core.analyzer - SOLUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:39:31,612] INFO     src.core.engine -   SOLUSDT: 84.7000 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:39:31,826] INFO     src.core.analyzer - DOGEUSDT 评分: 3.9/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:39:31,826] INFO     src.core.engine -   DOGEUSDT: 0.0937 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:40:31,856] INFO     src.core.engine - 🔍 开始扫描 [16:40:31] | 周期:15m
[2026-03-30 16:40:32,389] INFO     src.core.analyzer - BTCUSDT 评分: 4.2/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.5 TREND:1.0]
[2026-03-30 16:40:32,389] INFO     src.core.engine -   BTCUSDT: 67809.3900 | 评分:4.2/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:40:32,584] INFO     src.core.analyzer - ETHUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:40:32,584] INFO     src.core.engine -   ETHUSDT: 2068.0300 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:40:32,778] INFO     src.core.analyzer - SOLUSDT 评分: 4.7/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:1.0 TREND:1.0]
[2026-03-30 16:40:32,779] INFO     src.core.engine -   SOLUSDT: 84.7100 | 评分:4.7/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:40:32,982] INFO     src.core.analyzer - DOGEUSDT 评分: 3.9/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:40:32,983] INFO     src.core.engine -   DOGEUSDT: 0.0937 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:40:43,114] INFO     src.core.analyzer - 参数已更新: {'buy_threshold': 5.0, 'sell_threshold': 2.0}
[2026-03-30 16:40:43,115] INFO     src.core.engine - ⚙️ 配置已更新: {'paper_trading': True, 'futures_enabled': False, 'scan_interval': 60, 'kline_interval': '15m', 'symbols': ['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'DOGEUSDT'], 'buy_threshold': 5.0, 'sell_threshold': 2.0, 'buy_quantity_pct': 0.085, 'max_position_pct': 0.3, 'stop_loss_pct': 5.0, 'take_profit_pct': 10.0, 'futures_buy_threshold': 7.0, 'futures_leverage': 3, 'target_profit': 1000.0, 'daily_target': 100.0}
[2026-03-30 16:41:12,451] INFO     src.core.engine - 🔍 开始扫描 [16:41:12] | 周期:15m
[2026-03-30 16:41:12,654] INFO     src.core.analyzer - BTCUSDT 评分: 4.2/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.5 TREND:1.0]
[2026-03-30 16:41:12,655] INFO     src.core.engine -   BTCUSDT: 67789.9900 | 评分:4.2/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:12,849] INFO     src.core.analyzer - ETHUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:41:12,850] INFO     src.core.engine -   ETHUSDT: 2067.1000 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:13,046] INFO     src.core.analyzer - SOLUSDT 评分: 4.7/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:1.0 TREND:1.0]
[2026-03-30 16:41:13,046] INFO     src.core.engine -   SOLUSDT: 84.6900 | 评分:4.7/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:13,240] INFO     src.core.analyzer - DOGEUSDT 评分: 3.9/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:41:13,241] INFO     src.core.engine -   DOGEUSDT: 0.0936 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:16,020] INFO     src.core.engine - 🔍 开始扫描 [16:41:16] | 周期:15m
[2026-03-30 16:41:16,221] INFO     src.core.analyzer - BTCUSDT 评分: 4.2/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.5 TREND:1.0]
[2026-03-30 16:41:16,221] INFO     src.core.engine -   BTCUSDT: 67789.9900 | 评分:4.2/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:16,438] INFO     src.core.analyzer - ETHUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:41:16,438] INFO     src.core.engine -   ETHUSDT: 2066.8900 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:16,653] INFO     src.core.analyzer - SOLUSDT 评分: 4.7/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:1.0 TREND:1.0]
[2026-03-30 16:41:16,653] INFO     src.core.engine -   SOLUSDT: 84.6800 | 评分:4.7/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:16,850] INFO     src.core.analyzer - DOGEUSDT 评分: 3.9/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.2 TREND:1.0]
[2026-03-30 16:41:16,851] INFO     src.core.engine -   DOGEUSDT: 0.0936 | 评分:3.9/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:33,016] INFO     src.core.engine - 🔍 开始扫描 [16:41:33] | 周期:15m
[2026-03-30 16:41:33,215] INFO     src.core.analyzer - BTCUSDT 评分: 4.6/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3 VOL:0.5 TREND:1.0]
[2026-03-30 16:41:33,215] INFO     src.core.engine -   BTCUSDT: 67768.4800 | 评分:4.6/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.8 KDJ:0.3]
[2026-03-30 16:41:33,423] INFO     src.core.analyzer - ETHUSDT 评分: 4.5/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:0.8 TREND:1.0]
[2026-03-30 16:41:33,423] INFO     src.core.engine -   ETHUSDT: 2066.4300 | 评分:4.5/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
[2026-03-30 16:41:33,619] INFO     src.core.analyzer - SOLUSDT 评分: 4.7/9.0 信号:HOLD [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3 VOL:1.0 TREND:1.0]
[2026-03-30 16:41:33,620] INFO     src.core.engine -   SOLUSDT: 84.6200 | 评分:4.7/9.0 | 信号:HOLD | [MACD:2.0 BOLL:0.0 RSI:0.4 KDJ:0.3]
